year,period,rank,company,value_musd,ref_url,table_note,wiki_revision
2022,Q3,8,Johnson & Johnson,429500.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,8,ExxonMobil,454240.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,9,TSMC,540670.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q2,9,Tencent,445990.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q3,9,Visa,374380.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,9,Visa,439950.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,10,UnitedHealth,479830.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q2,10,Meta,436390.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q3,10,Meta,364650.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,10,Tencent,405090.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2021,Q1,1,Apple,2050000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q2,1,Apple,2286000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q3,1,Apple,2339000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q4,1,Apple,2913000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q1,2,Microsoft,1778000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q2,2,Microsoft,2040000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q3,2,Microsoft,2119000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q4,2,Microsoft,2525000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q1,3,Amazon,1558000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q2,3,Amazon,1735000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q3,3,Alphabet,1777000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q4,3,Alphabet,1922000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q1,4,Alphabet,1395000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q2,4,Alphabet,1680000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
