scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days,family
top10_ew_buy_the_dip_25_50,index,237,2006-04-30,2025-12-31,0.109147561845746,0.1518141469688163,0.6578241554755643,0.1022378928044859,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637,top10_ew
top10_ew_buy_the_dip_25_50,combined,237,2006-04-30,2025-12-31,0.1132252241605218,0.1536647738789803,0.6762192844192847,0.1027961582173996,1.0104814581708552,-0.5921006552937125,2007-10-09,2009-03-09,2013-02-19,1960,top10_ew
top1_baseline_hold_from_2006,stock,237,2006-04-30,2025-12-31,0.1354687539403873,0.1936141795698786,0.6742210060240588,0.1159334126561263,1.1251324636817752,-0.3729865505496267,2008-05-20,2010-07-02,2012-01-20,1340,top10_ew
top1_baseline_hold_from_2006,index,237,2006-04-30,2025-12-31,0.109147561845746,0.1518141469688163,0.6578241554755643,0.1022378928044859,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637,top10_ew
top1_baseline_hold_from_2006,combined,237,2006-04-30,2025-12-31,0.123903644933232,0.1585048460842791,0.7202477875111303,0.0996966676728975,1.1445330071153148,-0.4293788759499233,2007-10-15,2009-03-05,2012-02-21,1590,top10_ew
top1_trailing_stop_25_from_2006,stock,237,2006-04-30,2025-12-31,0.1128854984714311,0.1547756296959163,0.6707294008820162,0.0985100181925206,1.0517700797833032,-0.3504745786774789,2020-02-19,2020-03-23,2020-08-12,175,top10_ew
top1_trailing_stop_25_from_2006,index,237,2006-04-30,2025-12-31,0.109147561845746,0.1518141469688163,0.6578241554755643,0.1022378928044859,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637,top10_ew
top1_trailing_stop_25_from_2006,combined,237,2006-04-30,2025-12-31,0.1121132162490201,0.1455381755615861,0.698611197626582,0.0950916757975583,1.0680592430137037,-0.4293788759499233,2007-10-15,2009-03-05,2012-02-21,1590,top10_ew
top1_buy_the_dip_25_50_from_2006,stock,237,2006-04-30,2025-12-31,0.1372506253459298,0.1874313358594244,0.6986601604666672,0.1122909529271456,1.1655211295154473,-0.3729865505496267,2008-05-20,2010-07-02,2012-01-20,1340,top10_ew
top1_buy_the_dip_25_50_from_2006,index,237,2006-04-30,2025-12-31,0.109147561845746,0.1518141469688163,0.6578241554755643,0.1022378928044859,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637,top10_ew
